FICHIER :;c:\Users\labo_psi\Desktop\Echelon_10deg_I_H_KD_0_KI_0.eposacq
Date :;03/04/2026
Heure :;14:49:11

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en POSITION avec échelon de 10.0 °.
73 mesures avec période de 10.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en POSITION : Echelon de 10.0 °
 PID Position : KP = 5600 | KI = 0 | KD = 0
 Réponse :
 Ecart de position : -0.18° (-4 qc)
 1er dépassement :  30.5 % ŕ 150.0 ms
 Temps de réponse ŕ 5% : 220.0 ms

MESURES :
Index;Temps;;Consigne de Position;Position Axe;Courant Moteur;Position Axe;
;ms;;qc;qc;mA;qc;
         0;       0,0;;        75;         1;      1512;         1;
         1;      10,0;;       168;         1;      4102;         1;
         2;      20,0;;       228;        11;      4277;        11;
         3;      30,0;;       228;        28;      4283;        28;
         4;      40,0;;       228;        48;      4297;        48;
         5;      50,0;;       228;        72;      4289;        72;
         6;      60,0;;       228;       100;      4295;       100;
         7;      70,0;;       228;       130;      4284;       130;
         8;      80,0;;       228;       163;      3279;       163;
         9;      90,0;;       228;       196;      1888;       196;
        10;     100,0;;       228;       227;       551;       227;
        11;     110,0;;       228;       252;      -618;       252;
        12;     120,0;;       228;       271;     -1522;       271;
        13;     130,0;;       228;       284;     -2208;       284;
        14;     140,0;;       228;       291;     -2579;       291;
        15;     150,0;;       228;       292;     -2720;       292;
        16;     160,0;;       228;       292;     -2725;       292;
        17;     170,0;;       228;       285;     -2551;       285;
        18;     180,0;;       228;       276;     -2193;       276;
        19;     190,0;;       228;       265;     -1769;       265;
        20;     200,0;;       228;       254;     -1308;       254;
        21;     210,0;;       228;       243;      -836;       243;
        22;     220,0;;       228;       234;      -410;       234;
        23;     230,0;;       228;       227;       -74;       227;
        24;     240,0;;       228;       221;       199;       221;
        25;     250,0;;       228;       218;       385;       218;
        26;     260,0;;       228;       216;       482;       216;
        27;     270,0;;       228;       216;       509;       216;
        28;     280,0;;       228;       216;       510;       216;
        29;     290,0;;       228;       216;       512;       216;
        30;     300,0;;       228;       216;       507;       216;
        31;     310,0;;       228;       216;       514;       216;
        32;     320,0;;       228;       217;       487;       217;
        33;     330,0;;       228;       219;       435;       219;
        34;     340,0;;       228;       220;       358;       220;
        35;     350,0;;       228;       221;       307;       221;
        36;     360,0;;       228;       223;       246;       223;
        37;     370,0;;       228;       224;       212;       224;
        38;     380,0;;       228;       224;       171;       224;
        39;     390,0;;       228;       224;       171;       224;
        40;     400,0;;       228;       224;       171;       224;
        41;     410,0;;       228;       224;       170;       224;
        42;     420,0;;       228;       224;       170;       224;
        43;     430,0;;       228;       224;       170;       224;
        44;     440,0;;       228;       224;       170;       224;
        45;     450,0;;       228;       224;       170;       224;
        46;     460,0;;       228;       224;       170;       224;
        47;     470,0;;       228;       224;       170;       224;
        48;     480,0;;       228;       224;       170;       224;
        49;     490,0;;       228;       224;       170;       224;
        50;     500,0;;       228;       224;       170;       224;
        51;     510,0;;       228;       224;       170;       224;
        52;     520,0;;       228;       224;       170;       224;
        53;     530,0;;       228;       224;       170;       224;
        54;     540,0;;       228;       224;       170;       224;
        55;     550,0;;       228;       224;       170;       224;
        56;     560,0;;       228;       224;       170;       224;
        57;     570,0;;       228;       224;       170;       224;
        58;     580,0;;       228;       224;       170;       224;
        59;     590,0;;       228;       224;       170;       224;
        60;     600,0;;       228;       224;       170;       224;
        61;     610,0;;       228;       224;       170;       224;
        62;     620,0;;       228;       224;       170;       224;
        63;     630,0;;       228;       224;       170;       224;
        64;     640,0;;       228;       224;       170;       224;
        65;     650,0;;       228;       224;       170;       224;
        66;     660,0;;       228;       224;       170;       224;
        67;     670,0;;       228;       224;       170;       224;
        68;     680,0;;       228;       224;       170;       224;
        69;     690,0;;       228;       224;       170;       224;
        70;     700,0;;       228;       224;       170;       224;
        71;     710,0;;       228;       224;       170;       224;
        72;     720,0;;       228;       224;       170;       224;

Paramčtre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;0;0;0;0
Vitesse :;32700;0;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

