FICHIER :;c:\Users\labo_psi\Desktop\Echelon_BO_3A.eposacq
Date :;31/03/2026
Heure :;13:07:58

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en COURANT (BO) avec consigne de 2500 mA.
256 mesures avec période de 5.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en COURANT (BO) : Consigne de 2500 mA
 PI Courant : KP = 800 | KI = 200
 

MESURES :
Index;Temps;;Consigne de Courant;Entrée Ana. 1;
;ms;;mA;mV;
         0;       0,0;;      2500;        43;
         1;       5,0;;      2500;       113;
         2;      10,0;;      2500;       126;
         3;      15,0;;      2500;        97;
         4;      20,0;;      2500;       155;
         5;      25,0;;      2500;       209;
         6;      30,0;;      2500;       246;
         7;      35,0;;      2500;       237;
         8;      40,0;;      2500;       267;
         9;      45,0;;      2500;       302;
        10;      50,0;;      2500;       337;
        11;      55,0;;      2500;       345;
        12;      60,0;;      2500;       356;
        13;      65,0;;      2500;       375;
        14;      70,0;;      2500;       409;
        15;      75,0;;      2500;       426;
        16;      80,0;;      2500;       437;
        17;      85,0;;      2500;       461;
        18;      90,0;;      2500;       482;
        19;      95,0;;      2500;       498;
        20;     100,0;;      2500;       498;
        21;     105,0;;      2500;       504;
        22;     110,0;;      2500;       519;
        23;     115,0;;      2500;       541;
        24;     120,0;;      2500;       554;
        25;     125,0;;      2500;       563;
        26;     130,0;;      2500;       579;
        27;     135,0;;      2500;       584;
        28;     140,0;;      2500;       606;
        29;     145,0;;      2500;       618;
        30;     150,0;;      2500;       625;
        31;     155,0;;      2500;       629;
        32;     160,0;;      2500;       633;
        33;     165,0;;      2500;       634;
        34;     170,0;;      2500;       654;
        35;     175,0;;      2500;       666;
        36;     180,0;;      2500;       662;
        37;     185,0;;      2500;       677;
        38;     190,0;;      2500;       672;
        39;     195,0;;      2500;       703;
        40;     200,0;;      2500;       697;
        41;     205,0;;      2500;       716;
        42;     210,0;;      2500;       695;
        43;     215,0;;      2500;       718;
        44;     220,0;;      2500;       705;
        45;     225,0;;      2500;       728;
        46;     230,0;;      2500;       730;
        47;     235,0;;      2500;       740;
        48;     240,0;;      2500;       747;
        49;     245,0;;      2500;       737;
        50;     250,0;;      2500;       761;
        51;     255,0;;      2500;       749;
        52;     260,0;;      2500;       766;
        53;     265,0;;      2500;       773;
        54;     270,0;;      2500;       760;
        55;     275,0;;      2500;       773;
        56;     280,0;;      2500;       789;
        57;     285,0;;      2500;       786;
        58;     290,0;;      2500;       802;
        59;     295,0;;      2500;       798;
        60;     300,0;;      2500;       794;
        61;     305,0;;      2500;       798;
        62;     310,0;;      2500;       815;
        63;     315,0;;      2500;       817;
        64;     320,0;;      2500;       806;
        65;     325,0;;      2500;       815;
        66;     330,0;;      2500;       830;
        67;     335,0;;      2500;       829;
        68;     340,0;;      2500;       829;
        69;     345,0;;      2500;       831;
        70;     350,0;;      2500;       846;
        71;     355,0;;      2500;       841;
        72;     360,0;;      2500;       849;
        73;     365,0;;      2500;       852;
        74;     370,0;;      2500;       846;
        75;     375,0;;      2500;       855;
        76;     380,0;;      2500;       870;
        77;     385,0;;      2500;       880;
        78;     390,0;;      2500;       880;
        79;     395,0;;      2500;       861;
        80;     400,0;;      2500;       864;
        81;     405,0;;      2500;       859;
        82;     410,0;;      2500;       859;
        83;     415,0;;      2500;       870;
        84;     420,0;;      2500;       883;
        85;     425,0;;      2500;       890;
        86;     430,0;;      2500;       864;
        87;     435,0;;      2500;       868;
        88;     440,0;;      2500;       874;
        89;     445,0;;      2500;       872;
        90;     450,0;;      2500;       879;
        91;     455,0;;      2500;       893;
        92;     460,0;;      2500;       901;
        93;     465,0;;      2500;       898;
        94;     470,0;;      2500;       888;
        95;     475,0;;      2500;       899;
        96;     480,0;;      2500;       900;
        97;     485,0;;      2500;       893;
        98;     490,0;;      2500;       893;
        99;     495,0;;      2500;       899;
       100;     500,0;;      2500;       892;
       101;     505,0;;      2500;       875;
       102;     510,0;;      2500;       898;
       103;     515,0;;      2500;       908;
       104;     520,0;;      2500;       912;
       105;     525,0;;      2500;       907;
       106;     530,0;;      2500;       921;
       107;     535,0;;      2500;       922;
       108;     540,0;;      2500;       909;
       109;     545,0;;      2500;       918;
       110;     550,0;;      2500;       924;
       111;     555,0;;      2500;       916;
       112;     560,0;;      2500;       912;
       113;     565,0;;      2500;       922;
       114;     570,0;;      2500;       916;
       115;     575,0;;      2500;       899;
       116;     580,0;;      2500;       906;
       117;     585,0;;      2500;       911;
       118;     590,0;;      2500;       900;
       119;     595,0;;      2500;       891;
       120;     600,0;;      2500;       893;
       121;     605,0;;      2500;       892;
       122;     610,0;;      2500;       885;
       123;     615,0;;      2500;       894;
       124;     620,0;;      2500;       909;
       125;     625,0;;      2500;       906;
       126;     630,0;;      2500;       895;
       127;     635,0;;      2500;       903;
       128;     640,0;;      2500;       910;
       129;     645,0;;      2500;       901;
       130;     650,0;;      2500;       889;
       131;     655,0;;      2500;       898;
       132;     660,0;;      2500;       892;
       133;     665,0;;      2500;       878;
       134;     670,0;;      2500;       877;
       135;     675,0;;      2500;       893;
       136;     680,0;;      2500;       889;
       137;     685,0;;      2500;       887;
       138;     690,0;;      2500;       898;
       139;     695,0;;      2500;       903;
       140;     700,0;;      2500;       890;
       141;     705,0;;      2500;       886;
       142;     710,0;;      2500;       889;
       143;     715,0;;      2500;       877;
       144;     720,0;;      2500;       859;
       145;     725,0;;      2500;       879;
       146;     730,0;;      2500;       897;
       147;     735,0;;      2500;       888;
       148;     740,0;;      2500;       882;
       149;     745,0;;      2500;       891;
       150;     750,0;;      2500;       876;
       151;     755,0;;      2500;       871;
       152;     760,0;;      2500;       865;
       153;     765,0;;      2500;       863;
       154;     770,0;;      2500;       871;
       155;     775,0;;      2500;       873;
       156;     780,0;;      2500;       849;
       157;     785,0;;      2500;       826;
       158;     790,0;;      2500;       825;
       159;     795,0;;      2500;       819;
       160;     800,0;;      2500;       834;
       161;     805,0;;      2500;       843;
       162;     810,0;;      2500;       832;
       163;     815,0;;      2500;       815;
       164;     820,0;;      2500;       824;
       165;     825,0;;      2500;       823;
       166;     830,0;;      2500;       817;
       167;     835,0;;      2500;       800;
       168;     840,0;;      2500;       816;
       169;     845,0;;      2500;       822;
       170;     850,0;;      2500;       820;
       171;     855,0;;      2500;       802;
       172;     860,0;;      2500;       805;
       173;     865,0;;      2500;       815;
       174;     870,0;;      2500;       819;
       175;     875,0;;      2500;       804;
       176;     880,0;;      2500;       824;
       177;     885,0;;      2500;       846;
       178;     890,0;;      2500;       843;
       179;     895,0;;      2500;       825;
       180;     900,0;;      2500;       823;
       181;     905,0;;      2500;       842;
       182;     910,0;;      2500;       846;
       183;     915,0;;      2500;       840;
       184;     920,0;;      2500;       841;
       185;     925,0;;      2500;       842;
       186;     930,0;;      2500;       846;
       187;     935,0;;      2500;       841;
       188;     940,0;;      2500;       840;
       189;     945,0;;      2500;       841;
       190;     950,0;;      2500;       833;
       191;     955,0;;      2500;       847;
       192;     960,0;;      2500;       865;
       193;     965,0;;      2500;       868;
       194;     970,0;;      2500;       867;
       195;     975,0;;      2500;       850;
       196;     980,0;;      2500;       845;
       197;     985,0;;      2500;       856;
       198;     990,0;;      2500;       859;
       199;     995,0;;      2500;       863;
       200;    1000,0;;      2500;       870;
       201;    1005,0;;      2500;       863;
       202;    1010,0;;      2500;       853;
       203;    1015,0;;      2500;       855;
       204;    1020,0;;      2500;       868;
       205;    1025,0;;      2500;       877;
       206;    1030,0;;      2500;       876;
       207;    1035,0;;      2500;       890;
       208;    1040,0;;      2500;       893;
       209;    1045,0;;      2500;       883;
       210;    1050,0;;      2500;       870;
       211;    1055,0;;      2500;       875;
       212;    1060,0;;      2500;       881;
       213;    1065,0;;      2500;       891;
       214;    1070,0;;      2500;       896;
       215;    1075,0;;      2500;       908;
       216;    1080,0;;      2500;       905;
       217;    1085,0;;      2500;       895;
       218;    1090,0;;      2500;       904;
       219;    1095,0;;      2500;       905;
       220;    1100,0;;      2500;       895;
       221;    1105,0;;      2500;       895;
       222;    1110,0;;      2500;       900;
       223;    1115,0;;      2500;       891;
       224;    1120,0;;      2500;       884;
       225;    1125,0;;      2500;       894;
       226;    1130,0;;      2500;       899;
       227;    1135,0;;      2500;       905;
       228;    1140,0;;      2500;       907;
       229;    1145,0;;      2500;       922;
       230;    1150,0;;      2500;       918;
       231;    1155,0;;      2500;       908;
       232;    1160,0;;      2500;       909;
       233;    1165,0;;      2500;       909;
       234;    1170,0;;      2500;       913;
       235;    1175,0;;      2500;       908;
       236;    1180,0;;      2500;       915;
       237;    1185,0;;      2500;       913;
       238;    1190,0;;      -207;       855;
       239;    1195,0;;      -511;       752;
       240;    1200,0;;      -661;       607;
       241;    1205,0;;      -410;         1;
       242;    1210,0;;      -188;         1;
       243;    1215,0;;         0;         0;
       244;    1220,0;;         0;         1;
       245;    1225,0;;         0;         2;
       246;    1230,0;;         0;         1;
       247;    1235,0;;         0;         1;
       248;    1240,0;;         0;         1;
       249;    1245,0;;         0;         2;
       250;    1250,0;;         0;         2;
       251;    1255,0;;         0;         2;
       252;    1260,0;;         0;         2;
       253;    1265,0;;         0;         4;
       254;    1270,0;;         0;         4;
       255;    1275,0;;         0;         4;

Paramčtre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;1000;1000;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

